,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
283,0.741,0.824,10,-4.143,0,0.0352,0.614,0,0.158,0.725,100.216,audio_features,6bK9BH9Ts8Gj5JFvnQkzak,spotify:track:6bK9BH9Ts8Gj5JFvnQkzak,https://api.spotify.com/v1/tracks/6bK9BH9Ts8Gj5JFvnQkzak,https://api.spotify.com/v1/audio-analysis/6bK9BH9Ts8Gj5JFvnQkzak,211666,4
284,0.623,0.607,10,-5.113,1,0.0353,0.147,3.29E-06,0.227,0.614,89.654,audio_features,2aGw77pZqli064JiPuXYRi,spotify:track:2aGw77pZqli064JiPuXYRi,https://api.spotify.com/v1/tracks/2aGw77pZqli064JiPuXYRi,https://api.spotify.com/v1/audio-analysis/2aGw77pZqli064JiPuXYRi,243160,4
285,0.805,0.763,6,-2.955,1,0.0942,0.121,0,0.047,0.82,85.289,audio_features,3njcsRzRNdtYGd9jvRp6bJ,spotify:track:3njcsRzRNdtYGd9jvRp6bJ,https://api.spotify.com/v1/tracks/3njcsRzRNdtYGd9jvRp6bJ,https://api.spotify.com/v1/audio-analysis/3njcsRzRNdtYGd9jvRp6bJ,235147,4
286,0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,audio_features,3WkibOpDF7cQ5xntM1epyf,spotify:track:3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/tracks/3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/audio-analysis/3WkibOpDF7cQ5xntM1epyf,227600,4
287,0.734,0.848,1,-5.285,0,0.0309,0.00312,1.16E-05,0.313,0.863,117.31,audio_features,2Za2mUwmQoSxWPscaY2vxl,spotify:track:2Za2mUwmQoSxWPscaY2vxl,https://api.spotify.com/v1/tracks/2Za2mUwmQoSxWPscaY2vxl,https://api.spotify.com/v1/audio-analysis/2Za2mUwmQoSxWPscaY2vxl,230013,4
288,0.826,0.721,0,-14.066,1,0.0668,0.102,8.13E-06,0.112,0.64,96.998,audio_features,4zPJXluWPGkIZLEQ5JK6aD,spotify:track:4zPJXluWPGkIZLEQ5JK6aD,https://api.spotify.com/v1/tracks/4zPJXluWPGkIZLEQ5JK6aD,https://api.spotify.com/v1/audio-analysis/4zPJXluWPGkIZLEQ5JK6aD,401667,4
289,0.721,0.74,1,-5.453,1,0.0413,0.113,4.07E-05,0.0847,0.716,104.812,audio_features,5LGqFIVBf3ZUeFBpc87CFS,spotify:track:5LGqFIVBf3ZUeFBpc87CFS,https://api.spotify.com/v1/tracks/5LGqFIVBf3ZUeFBpc87CFS,https://api.spotify.com/v1/audio-analysis/5LGqFIVBf3ZUeFBpc87CFS,216040,4
290,0.723,0.895,11,-3.707,0,0.102,0.088,0,0.0717,0.963,143.373,audio_features,3SFXsFpeGmBTtQvKiwYMDA,spotify:track:3SFXsFpeGmBTtQvKiwYMDA,https://api.spotify.com/v1/tracks/3SFXsFpeGmBTtQvKiwYMDA,https://api.spotify.com/v1/audio-analysis/3SFXsFpeGmBTtQvKiwYMDA,188667,4
291,0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,audio_features,0uppYCG86ajpV2hSR3dJJ0,spotify:track:0uppYCG86ajpV2hSR3dJJ0,https://api.spotify.com/v1/tracks/0uppYCG86ajpV2hSR3dJJ0,https://api.spotify.com/v1/audio-analysis/0uppYCG86ajpV2hSR3dJJ0,282907,4
292,0.531,0.909,11,-4.236,1,0.034,0.0175,0,0.231,0.814,97.546,audio_features,1Dr1fXbc2IxaK1Mu8P8Khz,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/tracks/1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/audio-analysis/1Dr1fXbc2IxaK1Mu8P8Khz,178000,4
